cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
2370	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
2377	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
741	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
960	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
450	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
338	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
264	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
479	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
409	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
2846	41	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Triacyl-sn-glycerol;Tricarboxylic acid or derivatives	1	1	1	1	1	0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
