cluster.index	parent.mass	number.of.spectra	RTMean	sum.precursor.intensity.	LibraryID	SpectrumID	Smiles	INCHI	ProteoSAFeClusterLink	MetFragScore	MetFragSMILES	MetFragID	FusionScore	FusionSMILES	FusionID	ConsensusScore	ConsensusSMILES	ConsensusID
1	792.559	1	624.55	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=1									
3	934.641	1	678.79	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=3									
4	391.281	1	531.13	0	SpectralMatchtoBis(2-ethylhexyl)phthalatefromNIST14	CCMSLIB00003136650		N/A	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=4									
5	445.366	1	822.59	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=5									
6	680.478	1	899.14	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=6									
8	338.338	1	508.59	0	Erucamide	CCMSLIB00000424809			http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=8									
11	429.370	1	691.76	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=11									
12	954.615	1	485.86	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=12									
13	570.465	1	818.27	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=13									
14	893.550	1	874.94	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=14									
16	369.297	1	534.92	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=16									
17	663.452	1	899.13	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=17									
18	907.524	1	831.09	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=18									
19	798.636	1	988.30	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=19									
21	445.367	1	625.83	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=db04a3f5567d480c8e3ecab992c2fd7f&view=cluster_details&protein=21									
