Sample name;x;y;z;r;rNumbers
leaves1;-6.37336;1.33958;16.5397;0.5;13
leaves1;-6.38906;1.35959;16.4993;0.5;13
leaves1;-6.40506;1.39218;16.4369;0.5;13
leaves1;-6.41644;1.26132;16.5224;0.5;13
leaves1;-6.44351;1.24995;16.4837;0.5;13
leaves1;-6.47319;1.23172;16.4427;0.5;13
fruit1;-6.39175;1.29542;16.5652;0.8;33
fruit1;-6.38546;1.31187;16.5562;0.8;33
fruit1;-6.40311;1.29258;16.5369;0.8;33
leaves2;-6.31965;1.15989;16.5956;0.5;4
leaves2;-6.34776;1.07403;16.5486;0.5;4
leaves2;-6.41896;1.10376;16.55;0.5;4
leaves2;-6.42762;0.993446;16.4762;0.5;4
leaves2;-6.51151;1.03087;16.4721;0.5;4
leaves2;-6.53691;0.911769;16.3465;0.5;4
leaves2;-6.50047;0.955652;16.4076;0.5;4
leaves2;-6.2488;1.37206;16.6495;0.5;4
leaves2;-6.32572;1.39642;16.647;0.5;4
leaves2;-6.17877;1.48108;16.6709;0.5;4
leaves2;-6.28725;1.46187;16.6491;0.5;4
leaves2;-6.20734;1.53743;16.6674;0.5;4
leaves2;-6.29045;1.51851;16.6479;0.5;4
leaves2;-6.22194;1.60026;16.6796;0.5;4
leaves2;-6.31613;1.57279;16.6432;0.5;4
leaves2;-6.2559;1.65996;16.6767;0.5;4
leaves2;-6.32752;1.63625;16.64;0.5;4
leaves2;-6.2983;1.70266;16.651;0.5;4
leaves2;-6.31686;1.77277;16.637;0.5;4
fruit2;-6.38713;1.32763;16.69;0.5;21
fruit2;-6.4286;1.27678;16.6958;0.5;21
fruit2;-6.34484;1.28463;16.7474;0.5;21
fruit2;-6.38371;1.25147;16.7313;0.5;21
fruit2;-6.33529;1.25385;16.7725;0.5;21
fruit2;-6.36057;1.21382;16.736;0.5;21
stem1;-6.18738;1.21575;16.711;0.5;5
stem1;-6.21775;1.22579;16.7071;0.5;5
stem1;-6.24798;1.2371;16.7083;0.5;5
fruit3;-6.05034;1.20614;16.7977;0.5;11
fruit3;-6.1294;1.193;16.7241;0.5;11
fruit3;-6.16634;1.12822;16.7275;0.5;11
fruit3;-6.05999;1.09496;16.741;0.5;11
fruit3;-6.09314;1.14679;16.7248;0.5;11
fruit3;-6.01283;1.15545;16.7735;0.5;11
leaves3;-5.90692;1.22372;16.636;0.5;7
leaves3;-5.96309;1.24898;16.6661;0.5;7
leaves3;-5.88927;1.31016;16.6901;0.5;7
leaves3;-5.94901;1.32954;16.7119;0.5;7
leaves3;-5.86346;1.38448;16.7239;0.5;7
leaves3;-5.90937;1.39893;16.7345;0.5;7
leaves3;-5.80096;1.46745;16.7625;0.5;7
leaves3;-5.86511;1.47618;16.76;0.5;7
leaves3;-5.79568;1.53228;16.7814;0.5;7
leaves3;-5.85241;1.5387;16.784;0.5;7
leaves3;-5.80343;1.59433;16.799;0.5;7
leaves3;-6.00337;0.986769;16.5265;0.5;7
leaves3;-6.07205;1.01392;16.5356;0.5;7
leaves3;-6.04081;0.929226;16.5013;0.5;7
leaves3;-6.12039;0.963413;16.5159;0.5;7
leaves3;-6.09907;0.902158;16.4793;0.5;7
leaves3;-6.17795;0.930663;16.5019;0.5;7
leaves3;-6.18301;0.851392;16.4452;0.5;7
leaves3;-6.26074;0.886654;16.4698;0.5;7
leaves3;-6.25753;0.817874;16.4192;0.5;7
leaves3;-6.35381;0.848201;16.4238;0.5;7
leaves3;-6.35532;0.810161;16.3906;0.5;7
stem2;-5.7157;1.08965;16.337;0.5;15
