Sample name;x;y;z;r;rNumbers
flowers;-0.136918;-0.114824;16.8436;0.1;14
flowers;-0.273602;-0.0441229;16.8037;0.1;14
flowers;-0.190813;-0.360208;16.918;0.1;14
flowers;-0.305425;-0.408829;16.7628;0.1;14
flowers;0.04974;-0.462011;16.9151;0.1;14
flowers;0.0616606;-0.564019;16.9014;0.1;14
flowers;0.251449;-0.165895;16.8981;0.1;14
flowers;0.377124;-0.172811;16.8565;0.1;14
flowers;0.198907;0.0223432;16.8073;0.1;14
flowers;0.0254382;-0.00666877;16.8442;0.1;14
flowers;0.0389538;0.163145;16.7875;0.1;14
flowers;0.259079;0.178922;16.7329;0.1;14
flowers;0.260854;-0.364795;16.879;0.1;14
flowers;0.343966;-0.409322;16.8531;0.1;14
flowers;-0.0731914;-0.478285;16.9227;0.1;14
flowers;-0.0390977;-0.41094;16.9536;0.1;14
pool1;-0.421621;-0.759472;15.6007;1;1
pool1;-0.416056;-0.698679;15.9783;1;1
pool1;-0.332767;-0.638907;16.3572;1;1
pool1;-0.0895946;-0.89339;15.5783;1;1
pool1;-0.0936417;-0.863527;15.9357;1;1
pool1;-0.0494257;-0.77616;16.3457;1;1
pool1;0.231956;-0.818303;15.5491;1;1
pool1;0.195349;-0.783204;15.9337;1;1
pool1;0.199801;-0.730535;16.3022;1;1
pool1;0.458769;-0.60428;15.5715;1;1
pool1;0.455029;-0.587315;15.948;1;1
pool1;0.355381;-0.570608;16.3259;1;1
pool1;0.582309;-0.298122;15.6032;1;1
pool1;0.550988;-0.29775;15.9128;1;1
pool1;0.450634;-0.311857;16.3111;1;1
pool1;0.53731;0.00893569;15.5602;1;1
pool1;0.515569;-0.00474152;15.8322;1;1
pool1;0.457682;-0.0348497;16.1439;1;1
pool1;0.326646;0.295027;15.5147;1;1
pool1;0.372013;0.242765;15.8253;1;1
pool1;0.377654;0.183259;16.4366;1;1
pool1;0.316863;0.173863;16.0303;1;1
pool1;0.109097;0.311684;16.5797;1;1
pool1;0.134623;0.429195;16.1384;1;1
pool1;0.00408697;0.410367;15.7995;1;1
pool1;0.0694311;0.437676;15.6;1;1
pool1;0.120257;0.374257;16.2715;1;1
pool1;-0.139259;0.334055;16.5016;1;1
pool1;-0.275563;0.237634;16.1791;1;1
pool1;-0.310864;0.337565;15.8556;1;1
pool1;-0.319107;0.383444;15.609;1;1
pool1;-0.343144;0.13541;16.503;1;1
pool1;-0.510904;0.232176;16.2182;1;1
pool1;-0.56851;0.255491;15.7184;1;1
pool1;-0.457086;-0.0358538;16.5261;1;1
pool1;-0.623574;0.0647585;16.2811;1;1
pool1;-0.713182;0.131096;16.0751;1;1
pool1;-0.686461;0.126832;15.8353;1;1
pool1;-0.329668;-0.146771;16.7109;1;1
pool1;-0.466648;-0.12706;16.5209;1;1
pool1;-0.621077;-0.112587;16.3257;1;1
pool1;-0.733517;-0.0922587;15.9887;1;1
pool1;-0.752144;-0.273679;16.0832;1;1
pool1;-0.688227;-0.266558;16.2532;1;1
pool1;-0.633004;-0.279783;16.3876;1;1
pool1;-0.522467;-0.261094;16.5451;1;1
pool1;-0.41763;-0.285283;16.6165;1;1
pool1;-0.462045;-0.391472;16.5174;1;1
pool1;-0.543823;-0.438068;16.3057;1;1
pool1;-0.63094;-0.495107;16.0447;1;1
pool1;-0.656222;-0.468845;15.8364;1;1
pool1;-0.404376;-0.533562;16.5959;1;1
pool1;-0.480787;-0.590006;16.4342;1;1
pool1;-0.570505;-0.629909;16.2954;1;1
pool1;-0.646859;-0.662048;16.1083;1;1
pool1;-0.68314;-0.671541;15.9682;1;1
pool1;-0.0534214;-0.691912;16.6974;1;1
pool1;-0.246613;-0.580501;16.6598;1;1
pool1;0.347067;-0.498412;16.7223;1;1
pool1;0.159846;-0.623866;16.7401;1;1
pool1;0.331312;-0.305928;16.8496;1;1
pool1;0.351408;-0.0559703;16.7518;1;1
pool1;0.270009;0.0702828;16.7102;1;1
pool1;0.106693;0.103326;16.7881;1;1
pool1;-0.0506576;0.121621;16.7942;1;1
pool1;-0.22086;0.050511;16.7189;1;1
pool1;-0.00788001;-0.202334;16.8965;1;1
pool2;-0.614264;0.266862;14.9205;1;12
pool2;-0.725276;0.40074;14.3196;1;12
pool2;-0.79497;0.52553;13.7014;1;12
pool2;-0.790465;0.567978;12.983;1;12
pool2;-0.790658;0.534273;12.3352;1;12
pool2;-0.435738;0.860129;12.3654;1;12
pool2;-0.379834;0.834005;12.9891;1;12
pool2;-0.397774;0.818353;13.6846;1;12
pool2;-0.31897;0.693029;14.2982;1;12
pool2;-0.25406;0.492637;14.9701;1;12
pool2;0.0918976;0.478667;15.0025;1;12
pool2;0.0941498;0.682034;14.2782;1;12
pool2;0.0955834;0.827395;13.595;1;12
pool2;0.100853;0.823839;12.9338;1;12
pool2;0.0984437;0.897754;12.2846;1;12
pool2;0.407852;0.545162;12.7961;1;12
pool2;0.388282;0.592155;12.1656;1;12
pool2;0.487044;0.534562;13.4094;1;12
pool2;0.474923;0.447811;14.0335;1;12
pool2;0.350249;0.438455;14.5971;1;12
pool2;0.577695;0.101472;14.6874;1;12
pool2;0.547812;-0.297813;15.1972;1;12
pool2;0.593459;-0.2211;14.5147;1;12
pool2;0.630383;-0.0322864;13.8257;1;12
pool2;0.60251;0.0772161;13.1582;1;12
pool2;0.498059;0.175609;12.2192;1;12
pool2;0.296059;-0.251091;12.1396;1;12
pool2;0.327735;-0.34112;12.6983;1;12
pool2;0.449566;-0.434746;13.267;1;12
pool2;0.448497;-0.499015;13.7439;1;12
pool2;0.461333;-0.543022;14.1435;1;12
pool2;0.423946;-0.552573;14.6626;1;12
pool2;0.412511;-0.586936;15.1849;1;12
pool2;-0.097898;-0.495806;12.2152;1;12
pool2;-0.0778193;-0.55292;12.5848;1;12
pool2;-0.0301167;-0.69101;13.1229;1;12
pool2;-0.00835765;-0.763119;13.5957;1;12
pool2;0.130054;-0.758766;14.096;1;12
pool2;0.141805;-0.776591;14.5538;1;12
pool2;0.174054;-0.756823;15.1452;1;12
pool2;-0.861262;-0.06672;12.1895;1;12
pool2;-0.922891;0.187456;12.5232;1;12
pool2;-0.997194;0.100838;13.1685;1;12
pool2;-0.994516;-0.00269162;13.9558;1;12
pool2;-0.870972;0.00851212;14.2879;1;12
pool2;-0.767683;-0.118204;15.186;1;12
pool2;-0.93168;-0.0361456;14.7247;1;12
pool2;-0.851571;-0.315475;12.8248;1;12
pool2;-0.906228;-0.398817;13.4594;1;12
pool2;-0.822455;-0.421759;14.0149;1;12
pool2;-0.768394;-0.411244;14.43;1;12
pool2;-0.771369;-0.585149;14.8648;1;12
