Sample name;x;y;z;r;rNumbers
leaves1;1.96834;-0.00768913;14.5171;0.4;17
leaves1;2.00761;0.0148503;14.4553;0.4;17
leaves1;2.05586;0.0316637;14.3829;0.4;17
leaves1;2.101;0.054771;14.3015;0.4;17
leaves1;2.14621;0.0690708;14.1958;0.4;17
leaves1;2.12096;0.0169044;14.3006;0.4;17
leaves1;2.07907;-0.0479242;14.4081;0.4;17
leaves1;2.00682;-0.132957;14.4987;0.4;17
leaves1;1.96221;-0.178264;14.5333;0.4;17
leaves1;2.17953;0.109309;14.2013;0.4;17
leaves1;2.19091;0.143766;14.2889;0.4;17
leaves1;2.21051;0.179988;14.3559;0.4;17
leaves1;2.23125;0.222676;14.4123;0.4;17
leaves1;2.24572;0.263876;14.4504;0.4;17
leaves1;2.26205;0.300642;14.4817;0.4;17
leaves1;2.38232;0.0731027;14.5732;0.4;17
leaves1;2.35525;0.0664311;14.5245;0.4;17
leaves1;2.33035;0.0580095;14.479;0.4;17
leaves1;2.29233;0.0510226;14.4117;0.4;17
leaves1;2.03588;-0.0933538;14.4626;0.4;17
leaves1;2.25478;0.0463868;14.3313;0.4;17
leaves1;2.21184;0.0551945;14.2133;0.4;17
stems1;2.21771;0.0644983;14.0174;0.4;1
stems1;2.19312;0.0349739;14.0074;0.4;1
stems1;2.16154;0.0469528;14.0172;0.4;1
stems1;2.19728;0.103768;14.0109;0.4;1
stems1;2.15434;0.110614;13.9995;0.4;1
stems1;2.12962;0.087204;14.0057;0.4;1
stems2;2.13833;0.0793173;13.9207;0.4;6
stems2;2.13602;0.0672958;13.8046;0.4;6
stems2;2.12899;0.0589297;13.6555;0.4;6
stems2;2.13983;0.0463021;13.5911;0.4;6
stems2;2.13655;0.0426857;13.4728;0.4;6
stems2;2.14873;0.0403463;13.3609;0.4;6
stems2;2.16447;0.0566196;13.1935;0.4;6
stems2;2.16257;0.035949;13.1217;0.4;6
stems3;2.14367;0.0299004;12.9802;0.4;20
stems3;2.16147;0.0177106;12.8049;0.4;20
stems3;2.15809;0.0470295;13.0416;0.4;20
stems3;2.14877;0.0227051;12.7012;0.4;20
stems3;2.15313;0.0153814;12.5788;0.4;20
stems3;2.148;0.0158004;12.5033;0.4;20
stems3;2.16195;0.0134527;12.3441;0.4;20
stems3;2.14919;0.0112767;12.1972;0.4;20
stems3;2.17325;0.0105767;11.9983;0.4;20
stems3;2.17042;0.00537914;11.8599;0.4;20
stems3;2.17349;-0.00682857;11.7229;0.4;20
stems3;2.18008;0.00492786;11.524;0.4;20
stems4;2.17973;-0.0029662;11.4342;0.4;11
stems4;2.17926;-0.00458974;11.3242;0.4;11
stems4;2.19178;0.00162074;11.1489;0.4;11
stems4;2.17506;-0.0379496;10.8397;0.4;11
stems4;2.19805;-0.0378277;10.598;0.4;11
stems4;2.21836;-0.0499811;10.4046;0.4;11
stems4;2.19212;-0.0554882;10.2222;0.4;11
stems4;2.22127;-0.0732254;10.0017;0.4;11
stems5;2.20642;-0.0807713;9.93134;0.4;8
stems5;2.21875;-0.0973369;9.71869;0.4;8
stems5;2.21386;-0.110611;9.59267;0.4;8
stems5;2.19843;-0.11943;9.41659;0.4;8
stems5;2.21347;-0.121201;9.23741;0.4;8
stems5;2.21405;-0.127283;9.0995;0.4;8
stems5;2.22363;-0.121138;8.89606;0.4;8
stems6;2.23459;-0.113762;8.69903;0.4;4
stems6;2.22875;-0.118491;8.5603;0.4;4
stems6;2.21845;-0.12032;8.34672;0.4;4
stems6;2.22514;-0.11641;8.24025;0.4;4
stems6;2.22901;-0.0976434;8.09232;0.4;4
stems6;2.22964;-0.127816;7.9663;0.4;4
stems6;2.21583;-0.142524;7.6855;0.4;4
stems6;2.25057;-0.124425;7.5369;0.4;4
stems6;2.24703;-0.117454;7.33225;0.4;4
stems7;2.25636;-0.1135;7.23292;0.4;14
stems7;2.26556;-0.114423;7.11198;0.4;14
stems7;2.26779;-0.11441;6.97833;0.4;14
stems7;2.25608;-0.128787;6.83952;0.4;14
stems7;2.27063;-0.115682;6.65746;0.4;14
stems7;2.27616;-0.121692;6.51734;0.4;14
stems7;2.28307;-0.125391;6.35687;0.4;14
stems7;2.26315;-0.14277;6.18401;0.4;14
stems8;2.27181;-0.14555;6.01819;0.4;23
stems8;2.27729;-0.146064;5.88196;0.4;23
stems8;2.277;-0.147574;5.76472;0.4;23
stems8;2.31175;-0.14585;5.63299;0.4;23
stems8;2.34123;-0.169603;5.55309;0.4;23
stems8;2.29493;-0.161433;5.39173;0.4;23
stems8;2.27488;-0.178079;5.23563;0.4;23
stems8;2.26129;-0.188813;5.08584;0.4;23
stems8;2.30373;-0.18345;4.9495;0.4;23
stems8;2.21285;-0.206329;4.87862;0.4;23
stems9;2.22762;-0.190585;4.77909;0.4;10
stems9;2.31777;-0.240624;4.58734;0.4;10
stems9;2.30409;-0.245901;4.44349;0.4;10
stems9;2.31976;-0.282048;4.26698;0.4;10
stems9;2.37287;-0.258482;4.09363;0.4;10
stems9;2.38258;-0.282289;3.85961;0.4;10
stems9;2.35987;-0.29843;3.97243;0.4;10
stems9;2.39801;-0.316611;3.69724;0.4;10
stems9;2.4125;-0.312856;3.53901;0.4;10
stems9;2.39164;-0.339092;3.38911;0.4;10
stems9;2.44038;-0.351281;3.13256;0.4;10
stems9;2.47142;-0.351801;2.92281;0.4;10
leaves2;2.128;-0.0625523;14.0759;0.4;22
leaves2;2.07812;-0.113385;14.1555;0.4;22
leaves2;2.04215;-0.206249;14.2199;0.4;22
leaves2;1.98201;-0.271041;14.2471;0.4;22
leaves2;1.92727;-0.345314;14.2468;0.4;22
leaves2;1.88271;-0.424769;14.2149;0.4;22
leaves2;1.83776;-0.472101;14.1812;0.4;22
leaves2;2.21944;0.131406;13.9851;0.4;22
leaves2;2.26775;0.15757;14.0719;0.4;22
leaves2;2.29916;0.191943;14.1325;0.4;22
leaves2;2.34979;0.236574;14.2019;0.4;22
leaves2;2.41734;0.304563;14.2689;0.4;22
leaves2;2.49169;0.389616;14.3002;0.4;22
leaves2;2.56175;0.482912;14.2858;0.4;22
leaves2;2.62699;0.599884;14.2319;0.4;22
leaves2;2.0642;-0.0906484;13.9187;0.4;22
leaves2;1.9849;-0.194685;13.9678;0.4;22
leaves2;1.8756;-0.33198;13.9645;0.4;22
leaves2;1.81744;-0.399171;13.9242;0.4;22
leaves2;1.76458;-0.453127;13.8749;0.4;22
leaves2;2.35611;-0.200441;14.0719;0.4;22
leaves2;2.4295;-0.265614;14.1023;0.4;22
leaves2;2.51918;-0.353188;14.1036;0.4;22
leaves2;2.64036;-0.454814;14.0544;0.4;22
leaves2;2.26522;0.173134;13.7484;0.4;22
leaves2;2.30718;0.276088;13.7869;0.4;22
leaves2;2.46383;0.566294;13.7975;0.4;22
leaves2;2.69588;0.941429;13.4682;0.4;22
leaves2;2.59263;0.672783;13.7555;0.4;22
leaves2;2.6134;0.827726;13.6303;0.4;22
leaves2;2.25933;0.131197;13.8972;0.4;22
leaves2;2.29559;0.176563;13.9961;0.4;22
leaves2;2.38418;0.26927;14.1195;0.4;22
leaves2;2.43646;0.326199;14.1564;0.4;22
leaves2;2.59135;0.540075;14.158;0.4;22
leaves2;2.52232;0.439266;14.1743;0.4;22
leaves2;2.0852;0.126857;13.9085;0.4;22
leaves2;1.98551;0.19543;14.0062;0.4;22
leaves2;1.88175;0.291328;14.0704;0.4;22
leaves2;1.70858;0.540147;14.0427;0.4;22
leaves2;1.80301;0.410484;14.0912;0.4;22
leaves2;2.07743;0.131419;13.48;0.4;22
leaves2;1.94071;0.241369;13.5309;0.4;22
leaves2;1.81276;0.354083;13.5495;0.4;22
leaves2;1.53206;0.671954;13.1392;0.4;22
leaves2;1.46508;0.744538;12.9466;0.4;22
leaves2;1.68179;0.520868;13.4606;0.4;22
leaves2;1.60127;0.589918;13.3221;0.4;22
leaves2;1.75746;0.419924;13.5233;0.4;22
leaves2;2.32874;-0.180111;13.569;0.4;22
leaves2;2.41902;-0.330578;13.6243;0.4;22
leaves2;2.45678;-0.402402;13.6136;0.4;22
leaves2;2.5003;-0.475913;13.5696;0.4;22
leaves2;2.52585;-0.524208;13.5142;0.4;22
leaves2;2.56059;-0.583033;13.4024;0.4;22
leaves2;2.60717;-0.620294;13.132;0.4;22
leaves2;2.62784;-0.638382;12.9629;0.4;22
leaves2;1.9038;-0.1832;13.3652;0.4;22
leaves2;1.79722;-0.28442;13.4187;0.4;22
leaves2;1.70786;-0.415832;13.407;0.4;22
leaves2;1.64614;-0.493263;13.3447;0.4;22
leaves2;1.59392;-0.602472;13.2209;0.4;22
leaves2;1.56236;-0.622897;13.0995;0.4;22
leaves2;1.51877;-0.649947;12.9872;0.4;22
leaves2;1.50138;-0.704675;12.8324;0.4;22
leaves2;1.47549;-0.707564;12.7301;0.4;22
leaves2;2.45685;-0.179322;13.1395;0.4;22
leaves2;2.64286;-0.38359;13.1513;0.4;22
leaves2;2.72006;-0.462778;13.096;0.4;22
leaves2;2.77347;-0.50285;13.0289;0.4;22
leaves2;2.8063;-0.55588;12.919;0.4;22
leaves2;2.83837;-0.578515;12.7661;0.4;22
leaves2;2.87759;-0.557577;12.4738;0.4;22
leaves2;2.83681;-0.58375;12.6101;0.4;22
leaves2;2.2373;0.11949;13.2614;0.4;22
leaves2;2.28585;0.210341;13.3005;0.4;22
leaves2;2.36543;0.315094;13.3598;0.4;22
leaves2;2.41829;0.392589;13.3752;0.4;22
leaves2;2.46794;0.461877;13.3566;0.4;22
leaves2;2.52701;0.545636;13.32;0.4;22
leaves2;2.5916;0.609568;13.2689;0.4;22
leaves2;2.63948;0.687232;13.1659;0.4;22
leaves2;2.68298;0.723808;13.0255;0.4;22
leaves2;2.00937;0.186552;13.0616;0.4;22
leaves2;1.90582;0.289828;13.1066;0.4;22
leaves2;1.77601;0.404457;13.1019;0.4;22
leaves2;1.60838;0.50923;13.012;0.4;22
leaves2;1.40911;0.68419;12.6252;0.4;22
leaves3;2.2456;0.0937367;12.7668;0.4;3
leaves3;2.29733;0.166405;12.7989;0.4;3
leaves3;2.39851;0.378634;12.844;0.4;3
leaves3;2.45669;0.477794;12.8274;0.4;3
leaves3;2.52525;0.570703;12.7796;0.4;3
leaves3;2.58723;0.656959;12.7167;0.4;3
leaves3;2.35823;0.268069;12.8285;0.4;3
leaves3;2.64454;0.754158;12.5201;0.4;3
leaves3;2.04867;-0.106881;12.8396;0.4;3
leaves3;1.84803;-0.298541;12.9695;0.4;3
leaves3;1.72114;-0.390928;12.9878;0.4;3
