Sample name;x;y;z;r;rNumbers
leaves1;-2.03335;-0.504462;18.3346;0.8;16
leaves1;-2.37349;-0.351231;18.4457;0.8;16
leaves1;-2.74956;-0.24516;18.2952;0.8;16
leaves1;-2.6756;0.272827;18.0066;0.8;16
leaves1;-2.35885;0.174208;17.9294;0.8;16
leaves1;-1.90104;0.127287;17.8123;0.8;16
leaves1;-2.0236;0.567832;17.5678;0.8;16
leaves1;-2.56607;0.602409;17.7713;0.8;16
leaves1;-2.38313;0.942035;17.3838;0.8;16
leaves1;-2.35285;1.17361;17.0946;0.8;16
leaves1;-2.82603;0.601247;17.949;0.8;16
leaves1;-2.25159;2.28824;18.0468;0.8;16
leaves1;-2.48102;2.35856;18.1501;0.8;16
leaves1;-2.73789;2.34585;18.1457;0.8;16
leaves1;-2.18367;2.76958;18.7126;0.8;16
leaves1;-2.52087;2.7185;18.5049;0.8;16
leaves1;-2.82717;2.63304;18.3762;0.8;16
leaves1;-2.21555;3.13055;19.1707;0.8;16
leaves1;-2.64284;3.0411;18.8622;0.8;16
leaves1;-2.9781;2.91543;18.6252;0.8;16
leaves1;-3.13669;3.17654;18.8265;0.8;16
leaves1;-2.73422;3.30044;19.1235;0.8;16
leaves1;-2.37459;3.368;19.3539;0.8;16
leaves1;-2.81924;3.51019;19.2699;0.8;16
leaves1;-2.42189;1.54412;17.4608;0.8;16
leaves1;-2.5177;1.45887;17.7491;0.8;16
leaves1;-2.67073;1.45673;18.1892;0.8;16
leaves1;-2.94606;1.36002;18.6774;0.8;16
leaves1;-2.93995;1.53883;18.9594;0.8;16
leaves1;-2.71911;1.48046;18.4818;0.8;16
leaves1;-2.14146;2.08842;17.6597;0.8;16
leaves1;-2.91519;2.42521;16.5008;0.8;16
leaves1;-3.19602;2.71374;16.6517;0.8;16
leaves1;-2.7508;2.78689;16.5349;0.8;16
leaves1;-2.66366;3.29594;16.6626;0.8;16
leaves1;-3.02771;3.14649;16.6632;0.8;16
leaves1;-3.46682;3.02458;16.7796;0.8;16
leaves1;-3.82494;3.21113;16.884;0.8;16
leaves1;-3.38352;3.35817;16.7874;0.8;16
leaves1;-2.99932;3.48868;16.7591;0.8;16
leaves1;-3.00156;3.81998;16.891;0.8;16
leaves1;-3.39596;3.68274;16.8882;0.8;16
