FileName,PlantPartID,PlantPart,ModelID,Species,Samples,SampleType,ModelSpecies,PartModelSpecies,PartIDModelSpecies,PartSpecies,,,,
73_fruit1_hirtaM1_P2-A-6_01_36781.mzXML,fruit1,fruits,M1,hirta,All,Sample,M1hirta,fruit1M1hirta,fruitsM1hirta,fruitshirta,,,,
74_fruit2_hirtaM1_P2-A-7_01_36658.mzXML,fruit2,fruits,M1,hirta,All,Sample,M1hirta,fruit2M1hirta,fruitsM1hirta,fruitshirta,,,,
75_fruit3_hirtaM1_P2-A-8_01_36703.mzXML,fruit3,fruits,M1,hirta,All,Sample,M1hirta,fruit3M1hirta,fruitsM1hirta,fruitshirta,,,,
76_fruit4_hirtaM1_P2-A-9_01_36799.mzXML,fruit4,fruits,M1,hirta,All,Sample,M1hirta,fruit4M1hirta,fruitsM1hirta,fruitshirta,,,,
77_fruit5_hirtaM1_P2-A-10_01_36709.mzXML,fruit5,fruits,M1,hirta,All,Sample,M1hirta,fruit5M1hirta,fruitsM1hirta,fruitshirta,,,,
78_fruit6_hirtaM1_P2-A-11_01_36801.mzXML,fruit6,fruits,M1,hirta,All,Sample,M1hirta,fruit6M1hirta,fruitsM1hirta,fruitshirta,,,,
79_fruitextra_hirtaM1_P2-A-12_01_36705.mzXML,fruitextra,fruits,M1,hirta,All,Sample,M1hirta,fruitextraM1hirta,fruitsM1hirta,fruitshirta,,,,
61_leaves1_hirtaM1_REP_P1-G-8_01_36681.mzXML,leaves1,leaves,M1,hirta,All,Sample,M1hirta,leaves1M1hirta,leavesM1hirta,leaveshirta,,,,
62_leaves2_hirtaM1_P1-G-9_01_36585.mzXML,leaves2,leaves,M1,hirta,All,Sample,M1hirta,leaves2M1hirta,leavesM1hirta,leaveshirta,,,,
63_leaves3_hirtaM1_P1-G-10_01_36475.mzXML,leaves3,leaves,M1,hirta,All,Sample,M1hirta,leaves3M1hirta,leavesM1hirta,leaveshirta,,,,
64_leaves4_hirtaM1_P1-G-11_01_36522.mzXML,leaves4,leaves,M1,hirta,All,Sample,M1hirta,leaves4M1hirta,leavesM1hirta,leaveshirta,,,,
65_leaves5_hirtaM1_REP_P1-G-12_01_36683.mzXML,leaves5,leaves,M1,hirta,All,Sample,M1hirta,leaves5M1hirta,leavesM1hirta,leaveshirta,,,,
66_leaves6_hirtaM1_P2-A-1_01_36759.mzXML,leaves6,leaves,M1,hirta,All,Sample,M1hirta,leaves6M1hirta,leavesM1hirta,leaveshirta,,,,
67_leaves7_hirtaM1_P2-A-2_01_36735.mzXML,leaves7,leaves,M1,hirta,All,Sample,M1hirta,leaves7M1hirta,leavesM1hirta,leaveshirta,,,,
68_leaves8_hirtaM1_P2-A-3_01_36725.mzXML,leaves8,leaves,M1,hirta,All,Sample,M1hirta,leaves8M1hirta,leavesM1hirta,leaveshirta,,,,
69_leaves9_hirtaM1_P1-B-5_01_36485.mzXML,leaves9,leaves,M1,hirta,All,Sample,M1hirta,leaves9M1hirta,leavesM1hirta,leaveshirta,,,,
70_leaves10_hirtaM1_P1-B-6_01_36602.mzXML,leaves10,leaves,M1,hirta,All,Sample,M1hirta,leaves10M1hirta,leavesM1hirta,leaveshirta,,,,
71_leaves11_hirtaM1_P2-A-4_01_36763.mzXML,leaves11,leaves,M1,hirta,All,Sample,M1hirta,leaves11M1hirta,leavesM1hirta,leaveshirta,,,,
72_leaves12_hirtaM1_P2-A-5_01_36769.mzXML,leaves12,leaves,M1,hirta,All,Sample,M1hirta,leaves12M1hirta,leavesM1hirta,leaveshirta,,,,
82_youngleavesatl10_hirtaM1_P2-B-3_01_36817.mzXML,youngleaves,leaves,M1,hirta,All,Sample,M1hirta,youngleavesM1hirta,leavesM1hirta,leaveshirta,,,,
80_innerroot_hirtaM1_P2-B-1_01_36699.mzXML,innerroot,roots,M1,hirta,All,Sample,M1hirta,innerrootM1hirta,rootsM1hirta,rootshirta,,,,
81_outerroot_hirtaM1_P2-B-2_01_36815.mzXML,outerroot,roots,M1,hirta,All,Sample,M1hirta,outerrootM1hirta,rootsM1hirta,rootshirta,,,,
48_stem1_hirtaM1_P1-C-8_01_36479.mzXML,stem1,stems,M1,hirta,All,Sample,M1hirta,stem1M1hirta,stemsM1hirta,stemshirta,,,,
49_stem2_hirtaM1_P1-F-8_01_36447.mzXML,stem2,stems,M1,hirta,All,Sample,M1hirta,stem2M1hirta,stemsM1hirta,stemshirta,,,,
