1012_1	CC(/CCC1C(=C)CCC2C(C)(C)CCCC12C)=C/CO
1012_2	C=C/C(=C\CC1C(=CCC2C(C)(C)CCCC12C)C)/C
1125_1	CC(C)C1=CC2=C(C=C1)C3(C)CCCC(C)(CO)C3CC2O
1125_2	C=CC1(C)C=C2CCC3C(C)(C)C(CCC3(C)C2=CC1=O)O
1125_3	CC(C)C1C=CC(=CCC=C(C)CC2C=C(CC1)C(=O)O2)C
688_1	C=CC1C(=C)CCC2C1CCC3C(C)(C)C(CCC23C)O
688_2	C=CC1(C)CCC2C(CCC3C(C)(C)C(CCC23C)O)=C1
688_3	C=CC1(C)CCC2C(=CCC3C(C)(C)C(CCC23C)O)C1
688_4	C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CCC1C2)O
688_5	CC(C)C=1CCC2C(=CCC3C(C)(C)CC(CC23C)O)C1
688_6	CC1(C)C2CCC34CC5C(CC3C2(C)CCC1O)C5(C)C4
688_7	C=CC(C)=CCC1C(=CCC2C(C)(C)CCCC12C)CO
688_8	CC(C)C1=CC=C(C)CCC=C(C)CCC(C(=C)CC1)O
688_9	CC(C)C1=CC=C(C)CCC=C(C)CCC=C(C)CC1O
688_10	CC(O)CCCCCCCCCCCC(O)CC(O)=O
688_11	C=C/C(=C/CC1C(=CCC2C(C)(C)CCCC12C)CO)/C
688_12	CC1(C)C(O)CCC2(C)C1CCC3=CC(C=C)(C)CCC32
688_13	C=CC1C(=C)CCC2C1CCC1C(C)(C)C(CCC21C)O
688_14	CC(=CCC/C(=C/CCC(C)(C1CC=C(C)C(C1)O)O)/C)C
688_15	C=CC(=C)CCC1C2(C)CCCC(C)(C)C2CC(C1(C)O)O
688_16	CC1(C)CCCC2(C)C1CCC13CC(CCC23)C(C1)(CO)O
505_1	CC(=O)OC(CO)CC(O)CCCCCCCCCCCC=C
608_1	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C
608_2	C=Cc1c(C)c(cc2c1CCC1C(C)(C)C(=O)CCC21C)O
855_1	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3CC2OC1=O)O
855_2	CC1=C2C=C3C(CC2OC1=O)C4(C)CCCC(C)(C)C4CC3O
855_3	CC=1C=CC2(CCC3C(C)(C)C(CCC3(C)C2CC(=O)O)=O)C1
855_4	CC1C2C(CC3C(=CCC4C3(C)CCC5CC54C)C2OC1=O)O
855_5	C=C(C)C1CCC23CC(CCC2C1(C)CCC(=O)O)C(=C)C3=O
855_6	CC1(C)C2CCC34CC5C(CC3C2(C)CCC1=O)C5(C4)C(=O)O
855_7	CC1=C2C(=CC3C(CCC4C(C)(C)CCCC34C)C2O)OC1=O
855_8	CC1=C2C=C3CCC4C(C)(C)CCCC4(C)C3CC2(O)OC1=O
855_9	CC1=C2C=C3CCC4C(C)(C)CCCC4(C)C3C(C2OC1=O)O
855_10	CC1(C)C2CCC3=CC4(C)C(CC3C2(C)CCC1=O)COC4=O
855_11	CC(C)C1=CC2=C(C=C1)[C@@]3(C)CCC[C@@](C)(C3C[C@H]2O)C(O)=O
855_12	CC12CCCC(C)(C1CCC34CC(CCC23)C5(CO)OC45)C(O)=O
855_13	C=Cc1c(C)c(cc2c1CCC1C(C)(C)C(=O)CCC21C)O
855_14	CC1=CC2(C=C1)CCC1C(C)(C)C(=O)CCC1(C)C2CC(=O)O
855_15	C=C(C)C1CCC(=C)C(Cc2c(C)cco2)C1(C)CCC(=O)O
855_16	CC1CCC2=C(CCCC2(C)C(=O)O)C1(C)CCc1ccoc1
855_17	C[C@@H]1CC[C@@]2(C)C(=CCC[C@@H]2[C@]1(C)CCc1ccoc1)C(=O)O
855_18	C=CC1(C)CCC2C(=CCC3C(C)(C)C(=O)C(=CC23C)O)C1O
855_19	C=C(CCC1C2C1(C)C)C(C2C(O)(C)C3O)C4=C3CC(C)C4=O
855_20	CC1=CCC(C(=CC(=O)C(=O)C(=CC2C(CC1)C2(C)C)C)C)O
855_21	C=CC1(C)CC2=CCC3C(C)(C)C(C(=O)CC3(C)C2CC1=O)O
855_22	Cc1cc(ccc1O)C(=O)C(C)CC1C(CCC(=O)C)C1(C)C
839_1	C=Cc1c(C)c(cc2c1CCC3C(C)(C)C(CCC23C)=O)O
839_2	CC1=C2C=C3CCC4C(C)(C)CCCC4(C)C3CC2OC1=O
839_3	CC(C)C1C=CC(C)=CCC=C(C)CC2C=C(CC1)C(=O)O2
839_4	C=CC1(C)C=C2CCC3C(C)(C)C(CCC3(C)C2=CC1=O)O
839_5	C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CC1CC2=O)=O
839_6	CC1=C2C=C3C(CC2OC1=O)C4(C)CCCC(C)(C)C4CC3O
839_7	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3CC2OC1=O)O
839_8	CC1=C2C(=CC3C(CCC4C(C)(C)CCCC34C)C2O)OC1=O
839_9	CC(CO)C1=CC(C2=C(CCC3C(C)(C)CCCC32C)C1=O)=O
839_10	C=CC1(C)C(C=C2C(=CCC3C(C)(C)C(CCC23C)O)C1O)=O
839_11	CC=1C=CC2(CCC3C(C)(C)C(CCC3(C)C2CC(=O)O)=O)C1
839_12	CC1=C2C=C3CCC4C(C)(C)CCCC4(C)C3CC2(O)OC1=O
839_13	CC1=C2C=C3CCC4C(C)(C)CCCC4(C)C3C(C2OC1=O)O
839_14	C=CC1(C)CCC2C(=CCC3C(C)(C)C(C(=CC23C)O)=O)C1O
839_15	CC1CCC2(C)C(=CCCC2C1(C)CCc3ccoc3)C(=O)O
839_16	CC1=C2CC3C(CC2OC1=O)C4(C)CCCC(C)(C)C4CC3=O
839_17	CC1(C)C2CCC3=CC4(C)C(CC3C2(C)CCC1=O)COC4=O
839_18	CC1=CC2C3(CCC4C(C)(C)C(CCC4(C)C3CC(=O)O2)=O)C1
839_19	C=C1CC23CCC4C(C)(C)C(CCC4(C)C3CC1C(C2=O)O)=O
839_20	CC1CC2C(CCC(C)(C=CC3C(C)=C(C1=O)C(=N3)O)O)C2(C)C
839_21	C=C1C2CCC(C3(C)C(CC(C(=C2)C1=O)O)C(C)(C)CCC3O)=O
839_22	CC1=C2C=C3C(CC2OC1=O)C4(C)CCC(C(C)(C)C4CC3O)O
839_23	CC1=C2C=C3CCC4C(C)(C)C(CC(C4(C)C3CC2OC1=O)O)O
839_24	C=C1CCC2C(C)(CCCC2(C)C(=O)O)C1CCC3=CCOC3=O
839_25	CC1=C2C=C3C(CC4C(C)(C)CCCC4(C)C3(CC2OC1=O)O)O
839_26	C=C1C2CC3C4(C)CCC(C(C)(CO)C4CCC3(CC2O)C1=O)=O
839_27	C=C1C2CC3C4(C)CCC(C(C)(C)C4CCC3(C1O)C(C2O)=O)=O
839_28	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3(CC2OC1=O)O)O
839_29	C=C1CC23CCC4C(C)(CCC(C4(C)CO)=O)C3CC1C(C2=O)O
839_30	CC1(C)C2CCC34C=C(C=O)C(CC3C2(C)CCC1=O)C(C4O)O
