shared.name	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
1718	1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Alcohols and polyols;Cycloartanols and derivatives;none;Sesquiterpenoids;Triterpenoids	Cyclic alcohols and derivatives;Cycloartanols and derivatives;Phenanthrenes and derivatives;Sesquiterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	0.6	0.4	0.2	0.2	0.073;0.091;0.055;0.091;0.091;0.055;0.055;0.073;0.073;0.091
1988	1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Alcohols and polyols;Cycloartanols and derivatives;none;Sesquiterpenoids;Triterpenoids	Cyclic alcohols and derivatives;Cycloartanols and derivatives;Phenanthrenes and derivatives;Sesquiterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	0.6	0.4	0.2	0.2	0.073;0.091;0.055;0.091;0.091;0.055;0.055;0.073;0.073;0.091
3806	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4515	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4027	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4277	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
3731	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
3734	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
3832	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4513	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4026	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4089	2	Organic compounds	Lipids and lipid-like molecules;Organic acids and derivatives	Carboxylic acids and derivatives;Prenol lipids	Diterpenoids	Diterpenoids;Jatrophane and cyclojatrophane diterpenoids;Pentacarboxylic acids and derivatives;Tetracarboxylic acids and derivatives	Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	0.5	0.5	0.5	0.25	0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.036;0.048;0.036
4028	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
4206	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
3732	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
4024	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
4209	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
5300	3	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tetracarboxylic acid or derivatives	1	0.667	0.667	0.583	0.417	0.044;0.044;0.048;0.048;0.048;0.04;0.048;0.048;0.048;0.036
