cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
270	1	355.367	1	355.367	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:270###	 	G1,	850.501	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=270	1	0	N/A	0	N/A	62
271	1	356.314	1	356.314	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:271###	 	G1,	812.916	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=271	1	1	N/A	0	N/A	-1
272	1	356.35	1	356.35	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:272###	 	G1,	964.08	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=272	1	1	N/A	0	N/A	17
273	1	357.204	1	357.204	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:273###	 	G1,	226.11	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=273	1	0	N/A	0	N/A	-1
274	1	357.205	1	357.205	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:274###	 	G1,	334.437	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=274	1	0	N/A	0	N/A	65
275	1	357.205	1	357.205	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:275###	 	G1,	415.894	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=275	1	0	N/A	0	N/A	-1
276	1	357.205	1	357.205	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:276###	 	G1,	448.071	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=276	1	0	N/A	0	N/A	-1
277	1	357.299	1	357.299	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:277###	 	G1,	641.346	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=277	1	0	Monoolein	1	GNPS-EMBL-MCF;	49
278	1	357.334	1	357.334	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:278###	 	G1,	699.534	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=278	1	0	N/A	0	N/A	17
279	1	357.382	1	357.382	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:279###	 	G1,	943.944	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=279	1	0	N/A	0	N/A	-1
2143	1	501.403	1	501.403	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:2143###	 	G1,	849.579	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=2143	1	0	N/A	0	N/A	-1
2142	1	501.402	1	501.402	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:2142###	 	G1,	902.044	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=2142	1	0	N/A	0	N/A	-1
3519	1	604.53	1	604.53	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3519###	 	G1,	1174.39	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3519	1	1	N/A	0	N/A	48
3518	1	604.529	1	604.529	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3518###	 	G1,	1140.46	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3518	1	1	N/A	0	N/A	48
3513	1	604.456	1	604.456	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3513###	 	G1,	922.848	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3513	1	1	N/A	0	N/A	61
3512	1	604.455	1	604.455	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3512###	 	G1,	955.334	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3512	1	1	N/A	0	N/A	-1
3511	1	604.382	1	604.382	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3511###	 	G1,	812.067	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3511	1	1	N/A	0	N/A	61
3510	1	604.313	1	604.313	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3510###	 	G1,	400.997	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3510	1	1	N/A	0	N/A	9
3517	1	604.529	1	604.529	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3517###	 	G1,	1151.06	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3517	1	1	N/A	0	N/A	116
3516	1	604.498	1	604.498	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3516###	 	G1,	1072.48	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3516	1	1	N/A	0	N/A	117
3515	1	604.456	1	604.456	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3515###	 	G1,	873.881	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3515	1	1	N/A	0	N/A	61
3514	1	604.456	1	604.456	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:3514###	 	G1,	849.552	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3514	1	1	N/A	0	N/A	-1
2688	1	539.3	1	539.3	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:2688###	 	G1,	616.35	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=2688	1	0	N/A	0	N/A	87
2689	1	539.346	1	539.346	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:2689###	 	G1,	655.458	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=2689	1	0	N/A	0	N/A	120
2684	1	539.263	1	539.263	0	1	0	0	0	0	0	spectral_data_ms2_BioCorrected.mgf:2684###	 	G1,	312.626	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=2684	1	1	N/A	0	N/A	121
