cluster.index	parent.mass.NH4	number.of.spectra.NH4	RTMean.NH4	sum.precursor.intensity..NH4	LibraryID.NH4	SpectrumID.NH4	Smiles.NH4	INCHI.NH4	ProteoSAFeClusterLink.NH4	MetFragScore.NH4	MetFragSMILES.NH4	MetFragID.NH4	FusionScore.NH4	FusionSMILES.NH4	FusionID.NH4	ConsensusScore.NH4	ConsensusSMILES.NH4	ConsensusID.NH4
3	251.199	1	902.694	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=3									
9	265.215	1	903.204	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=9									
14	271.241	1	626.754	0	Cembrane_Diterpene_minus_Me	CCMSLIB00000081088		N/A	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=14									
16	271.241	1	475.494	0	Cembrane_Diterpene_minus_Me	CCMSLIB00000081088		N/A	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=16									
17	273.220	1	626.982	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=17									
18	273.220	1	431.633	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=18									
19	273.255	1	1061.320	0	NCGC00385919-01_C20H34O_2-Penten-1-ol,5-[(1S,4aS,8aS)-decahydro-5,5,8a-trimethyl-2-methylene-1-naphthalenyl]-3-methyl-,(2E)-	CCMSLIB00000855460	CC(/CCC1C(=C)CCC2C(C)(C)CCCC12C)=C/CO	InChI=1S/C20H34O/c1-15(11-14-21)7-9-17-16(2)8-10-18-19(3,4)12-6-13-20(17,18)5/h11,17-18,21H,2,6-10,12-14H2,1,3-5H3/b15-11-	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=19									
23	285.183	1	362.314	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=23									
24	285.220	1	620.214	0	NCGC00169715-02_C20H30O2_Abieta-8(14),9(11),12-triene-7,18-diol	CCMSLIB00000855659	CC(C)C1=CC2=C(C=C1)C3(C)CCCC(C)(CO)C3CC2O	InChI=1S/C20H30O2/c1-13(2)14-6-7-16-15(10-14)17(22)11-18-19(3,12-21)8-5-9-20(16,18)4/h6-7,10,13,17-18,21-22H,5,8-9,11-12H2,1-4H3	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=24									
31	289.252	1	634.356	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=31									
32	289.253	1	473.510	0	NCGC00381202-01!3,15-dihydroxyhexadecanoicacid	CCMSLIB00000848391	CC(O)CCCCCCCCCCCC(O)CC(O)=O	InChI=1S/C16H32O4/c1-14(17)11-9-7-5-3-2-4-6-8-10-12-15(18)13-16(19)20/h14-15,17-18H,2-13H2,1H3,(H,19,20)	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=32									
43	295.168	1	419.378	0	m/z295ofditerpeneesters(collectedfrom12-deoxyphorbol-13-acetate)	CCMSLIB00000478114			http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=43									
50	295.262	1	602.460	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=50									
58	297.184	1	690.120	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=58									
59	297.184	1	341.051	0	Exemestane	CCMSLIB00000005321	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C	N/A	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=59									
64	299.199	1	191.863	0	NCGC00385373-01_C20H28O3_1-Phenanthrenecarboxylicacid,1,2,3,4,4a,9,10,10a-octahydro-9-hydroxy-1,4a-dimethyl-7-(1-methylethyl)-,(1S,9R)-	CCMSLIB00000849451	CC(C)C1=CC2=C(C=C1)[C@@]3(C)CCC[C@@](C)(C3C[C@H]2O)C(O)=O	InChI=1S/C20H28O3/c1-12(2)13-6-7-15-14(10-13)16(21)11-17-19(15,3)8-5-9-20(17,4)18(22)23/h6-7,10,12,16-17,21H,5,8-9,11H2,1-4H3,(H,22,23)/t16-,17?,19-,20+/m1/s1	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=64									
65	299.199	1	276.105	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=65									
67	299.200	1	380.525	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=67									
69	301.215	1	547.858	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=69									
71	301.215	1	313.580	0	N/A				http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=26326c233918419f8dc80e8af984cdae&view=cluster_details&protein=71									
