"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_369","motif_233","0.011","0.300","374.2315","None","None"
"document_4012","motif_469","0.012","0.300","643.3107","None","None"
"document_756","motif_125","0.014","0.300","415.3202","None","None"
"document_5535","motif_270","0.017","0.300","952.7408","None","None"
"document_4441","motif_136","0.020","0.300","678.5537","None","None"
"document_4478","motif_444","0.021","0.300","682.4303","None","None"
"document_1533","motif_345","0.023","0.300","467.3784","None","None"
"document_3683","motif_384","0.032","0.300","617.5076","None","None"
"document_4542","motif_69","0.035","0.300","690.3102","None","None"
"document_5633","motif_393","0.055","0.300","993.7419","None","None"
"document_5580","motif_460","0.088","0.300","968.7367","None","None"
"document_3744","motif_213","0.094","0.300","623.4746","None","None"
"document_5092","motif_297","0.138","0.300","784.6107","None","None"
"document_1607","motif_239","0.140","0.300","471.3821","None","None"
"document_4997","motif_180","0.206","0.300","763.3071","None","None"
"document_5219","motif_345","0.206","0.300","812.6348","None","None"
"document_1664","motif_121","0.238","0.300","474.2832","None","None"
"document_4361","motif_9","0.269","0.300","672.3498","None","None"
"document_1992","motif_330","0.648","0.300","490.4233","None","None"
"document_621","motif_499","0.810","0.300","405.3515","None","None"
"document_4222","motif_362","0.010","0.301","658.5370","None","None"
"document_2869","motif_256","0.011","0.301","553.2412","None","None"
"document_4187","motif_216","0.011","0.301","656.5399","None","None"
"document_4691","motif_190","0.011","0.301","708.4090","None","None"
"document_989","motif_20","0.011","0.301","432.3821","None","None"
"document_1839","motif_469","0.012","0.301","483.3463","None","None"
"document_5418","motif_54","0.012","0.301","896.6617","None","None"
"document_484","motif_295","0.013","0.301","389.1946","None","None"
"document_3921","motif_305","0.014","0.301","637.4544","None","None"
"document_1806","motif_408","0.015","0.301","481.2569","None","None"
"document_1807","motif_190","0.015","0.301","481.2570","None","None"
"document_3358","motif_377","0.015","0.301","593.2735","None","None"
"document_5652","motif_353","0.015","0.301","998.7833","None","None"
"document_2779","motif_224","0.016","0.301","547.4482","None","None"
"document_3482","motif_491","0.016","0.301","601.4233","None","None"
"document_1764","motif_155","0.017","0.301","478.3882","None","None"
"document_1777","motif_438","0.017","0.301","478.4240","None","None"
"document_2875","motif_3","0.017","0.301","553.4291","None","None"
"document_760","motif_83","0.017","0.301","415.3552","None","None"
"document_1930","motif_175","0.022","0.301","487.3851","None","None"
"document_2530","motif_175","0.022","0.301","529.3516","None","None"
"document_4067","motif_136","0.024","0.301","647.4689","None","None"
"document_1088","motif_20","0.025","0.301","440.3867","None","None"
"document_4062","motif_84","0.028","0.301","646.4956","None","None"
"document_5092","motif_345","0.028","0.301","784.6107","None","None"
"document_716","motif_439","0.034","0.301","412.4133","None","None"
"document_482","motif_393","0.037","0.301","389.1941","None","None"
"document_3216","motif_468","0.039","0.301","581.4538","None","None"
"document_4443","motif_19","0.051","0.301","678.5671","None","None"
"document_3080","motif_393","0.055","0.301","570.2700","None","None"
"document_1435","motif_477","0.056","0.301","460.3822","None","None"
"document_3770","motif_451","0.079","0.301","625.2998","None","None"
"document_4104","motif_136","0.085","0.301","650.5144","None","None"
"document_3965","motif_52","0.101","0.301","640.5057","None","None"
"document_4614","motif_236","0.106","0.301","698.5330","None","None"
"document_538","motif_468","0.112","0.301","397.3452","None","None"
"document_5354","motif_393","0.125","0.301","862.6030","None","None"
"document_5190","motif_273","0.144","0.301","806.5411","None","None"
"document_859","motif_259","0.385","0.301","423.3981","None","None"
"document_3191","motif_336","0.417","0.301","580.2892","None","None"
"document_4202","motif_181","0.483","0.301","658.3183","None","None"
"document_505","motif_402","0.609","0.301","393.3492","None","None"
"document_1151","motif_332","0.980","0.301","443.3564","None","None"
"document_1912","motif_330","0.010","0.302","487.2680","None","None"
"document_2335","motif_362","0.011","0.302","515.3375","None","None"
"document_1032","motif_408","0.012","0.302","437.2308","None","None"
"document_1863","motif_13","0.012","0.302","484.3864","None","None"
"document_1464","motif_82","0.014","0.302","462.3774","None","None"
"document_1879","motif_13","0.014","0.302","485.3599","None","None"
"document_5344","motif_305","0.014","0.302","858.5536","None","None"
"document_5559","motif_20","0.015","0.302","962.7440","None","None"
"document_4773","motif_9","0.017","0.302","720.3569","None","None"
"document_5131","motif_438","0.019","0.302","790.6567","None","None"
"document_5308","motif_345","0.019","0.302","846.7320","None","None"
"document_3739","motif_136","0.020","0.302","622.4981","None","None"
"document_2165","motif_178","0.021","0.302","502.4253","None","None"
"document_2270","motif_282","0.021","0.302","509.4277","None","None"
"document_4125","motif_345","0.021","0.302","652.3467","None","None"
"document_3218","motif_345","0.022","0.302","581.4639","None","None"
"document_4468","motif_243","0.022","0.302","681.5384","None","None"
"document_4528","motif_257","0.022","0.302","688.2959","None","None"
"document_5560","motif_157","0.022","0.302","962.7575","None","None"
"document_897","motif_20","0.022","0.302","425.4086","None","None"
"document_1840","motif_345","0.023","0.302","483.3487","None","None"
"document_1740","motif_375","0.024","0.302","477.2267","None","None"
"document_3432","motif_408","0.026","0.302","599.2828","None","None"
"document_1406","motif_46","0.030","0.302","459.3459","None","None"
"document_606","motif_382","0.030","0.302","404.2985","None","None"
"document_2049","motif_62","0.031","0.302","495.2357","None","None"
"document_2752","motif_345","0.032","0.302","545.4414","None","None"
"document_697","motif_82","0.032","0.302","411.3605","None","None"
"document_3670","motif_297","0.037","0.302","616.3478","None","None"
"document_1649","motif_311","0.042","0.302","473.3616","None","None"
"document_2971","motif_451","0.043","0.302","561.2676","None","None"
"document_3227","motif_345","0.043","0.302","582.4617","None","None"
"document_2306","motif_458","0.045","0.302","513.3567","None","None"
"document_998","motif_361","0.057","0.302","433.2210","None","None"
"document_364","motif_119","0.069","0.302","373.2002","None","None"
"document_1295","motif_44","0.075","0.302","455.2419","None","None"
"document_1096","motif_82","0.082","0.302","441.3349","None","None"
"document_1096","motif_337","0.093","0.302","441.3349","None","None"
"document_2925","motif_447","0.104","0.302","558.3051","None","None"
"document_1602","motif_178","0.107","0.302","471.3803","None","None"
"document_5111","motif_393","0.142","0.302","788.6076","None","None"
"document_5477","motif_393","0.143","0.302","928.6483","None","None"
"document_2600","motif_60","0.364","0.302","532.4317","None","None"
"document_1929","motif_275","0.451","0.302","487.3827","None","None"
"document_3189","motif_286","0.669","0.302","579.5087","None","None"
"document_5494","motif_38","0.976","0.302","934.6412","None","None"
"document_2280","motif_166","1.000","0.302","510.4994","None","None"
"document_2223","motif_285","0.010","0.303","506.2736","None","None"
"document_2772","motif_337","0.010","0.303","547.3621","None","None"
"document_689","motif_365","0.010","0.303","411.3592","None","None"
"document_4137","motif_437","0.011","0.303","652.5510","None","None"
"document_121","motif_170","0.012","0.303","313.1800","None","None"
"document_2119","motif_190","0.012","0.303","500.4075","None","None"
"document_616","motif_469","0.012","0.303","405.2735","None","None"
"document_3670","motif_132","0.013","0.303","616.3478","None","None"
"document_5130","motif_125","0.013","0.303","790.6533","None","None"
"document_783","motif_408","0.013","0.303","417.2256","None","None"
"document_284","motif_15","0.014","0.303","359.2202","None","None"
"document_2869","motif_169","0.014","0.303","553.2412","None","None"
"document_3421","motif_222","0.014","0.303","598.3936","None","None"
"document_3358","motif_62","0.015","0.303","593.2735","None","None"
"document_289","motif_93","0.016","0.303","359.2212","None","None"
"document_4329","motif_476","0.016","0.303","669.2907","None","None"
"document_5314","motif_133","0.017","0.303","848.5856","None","None"
"document_2492","motif_262","0.019","0.303","525.2839","None","None"
"document_1780","motif_148","0.021","0.303","479.2412","None","None"
"document_3401","motif_23","0.021","0.303","596.4858","None","None"
"document_1363","motif_104","0.022","0.303","457.3660","None","None"
"document_4319","motif_175","0.023","0.303","668.4514","None","None"
"document_938","motif_224","0.026","0.303","428.3872","None","None"
"document_1743","motif_33","0.028","0.303","477.3574","None","None"
"document_1920","motif_175","0.028","0.303","487.3408","None","None"
"document_2805","motif_318","0.028","0.303","549.3067","None","None"
"document_4380","motif_432","0.030","0.303","674.3173","None","None"
"document_4545","motif_496","0.037","0.303","690.3112","None","None"
"document_2128","motif_169","0.043","0.303","500.4812","None","None"
"document_5447","motif_56","0.044","0.303","912.7413","None","None"
"document_1941","motif_175","0.050","0.303","488.3755","None","None"
"document_4495","motif_458","0.061","0.303","684.4486","None","None"
"document_4388","motif_345","0.062","0.303","674.4970","None","None"
"document_689","motif_468","0.066","0.303","411.3592","None","None"
"document_5113","motif_110","0.090","0.303","790.0837","None","None"
"document_1988","motif_139","0.092","0.303","490.4203","None","None"
"document_2647","motif_468","0.092","0.303","536.4271","None","None"
"document_1078","motif_292","0.126","0.303","439.3625","None","None"
"document_287","motif_364","0.139","0.303","359.2208","None","None"
"document_1875","motif_364","0.177","0.303","485.2887","None","None"
"document_2390","motif_137","0.186","0.303","518.4181","None","None"
"document_5148","motif_444","0.213","0.303","794.5380","None","None"
"document_2096","motif_469","0.266","0.303","499.3769","None","None"
"document_3541","motif_272","0.581","0.303","606.5443","None","None"
"document_5338","motif_24","0.726","0.303","856.5415","None","None"
"document_4722","motif_219","0.930","0.303","712.5635","None","None"
"document_1794","motif_189","0.011","0.304","480.3299","None","None"
"document_3294","motif_178","0.011","0.304","587.4402","None","None"
"document_4696","motif_224","0.011","0.304","708.6116","None","None"
"document_4912","motif_347","0.011","0.304","747.6042","None","None"
"document_3515","motif_265","0.012","0.304","604.4564","None","None"
"document_4880","motif_384","0.012","0.304","740.5176","None","None"
"document_560","motif_345","0.013","0.304","399.3236","None","None"
"document_2345","motif_345","0.014","0.304","515.4124","None","None"
"document_3728","motif_18","0.014","0.304","621.3046","None","None"
"document_1959","motif_11","0.015","0.304","490.2783","None","None"
"document_1963","motif_11","0.015","0.304","490.2792","None","None"
"document_802","motif_331","0.015","0.304","419.2412","None","None"
"document_1407","motif_136","0.017","0.304","459.3460","None","None"
"document_690","motif_292","0.017","0.304","411.3594","None","None"
"document_1188","motif_19","0.018","0.304","445.3659","None","None"
"document_1604","motif_82","0.018","0.304","471.3809","None","None"
"document_3401","motif_224","0.019","0.304","596.4858","None","None"
"document_4040","motif_56","0.019","0.304","644.5443","None","None"
"document_1690","motif_272","0.021","0.304","474.4305","None","None"
"document_1798","motif_19","0.021","0.304","480.4025","None","None"
"document_4546","motif_489","0.021","0.304","690.3115","None","None"
"document_1021","motif_431","0.022","0.304","435.2154","None","None"
"document_490","motif_157","0.022","0.304","391.1785","None","None"
"document_4531","motif_318","0.023","0.304","688.3456","None","None"
"document_3661","motif_465","0.025","0.304","616.3115","None","None"
"document_561","motif_374","0.025","0.304","399.3239","None","None"
"document_503","motif_468","0.027","0.304","393.2774","None","None"
"document_2423","motif_477","0.029","0.304","520.3984","None","None"
"document_3688","motif_121","0.031","0.304","618.3048","None","None"
"document_2586","motif_282","0.032","0.304","532.3223","None","None"
"document_922","motif_468","0.032","0.304","427.3902","None","None"
"document_290","motif_393","0.036","0.304","359.2212","None","None"
"document_2442","motif_345","0.037","0.304","521.3970","None","None"
"document_1359","motif_15","0.048","0.304","457.3650","None","None"
"document_4446","motif_383","0.051","0.304","678.5934","None","None"
"document_5483","motif_273","0.058","0.304","930.7537","None","None"
"document_3823","motif_119","0.059","0.304","629.4388","None","None"
"document_4081","motif_345","0.063","0.304","649.5299","None","None"
"document_1782","motif_176","0.075","0.304","479.2419","None","None"
"document_4795","motif_159","0.076","0.304","726.3702","None","None"
"document_1515","motif_475","0.086","0.304","465.2983","None","None"
"document_3647","motif_56","0.125","0.304","614.5249","None","None"
"document_2508","motif_319","0.132","0.304","527.4196","None","None"
"document_3183","motif_491","0.159","0.304","579.2936","None","None"
"document_1130","motif_393","0.301","0.304","442.3558","None","None"
"document_3967","motif_329","0.301","0.304","640.5100","None","None"
"document_5027","motif_59","0.363","0.304","770.3577","None","None"
"document_2548","motif_96","0.458","0.304","530.3834","None","None"
"document_2399","motif_53","0.486","0.304","518.4213","None","None"
"document_1054","motif_87","0.010","0.305","439.2844","None","None"
"document_4110","motif_93","0.010","0.305","650.5633","None","None"
"document_2065","motif_478","0.011","0.305","496.3979","None","None"
"document_2142","motif_198","0.011","0.305","501.4018","None","None"
"document_2808","motif_19","0.011","0.305","549.3964","None","None"
"document_3976","motif_469","0.012","0.305","641.2936","None","None"
"document_2154","motif_84","0.013","0.305","502.4086","None","None"
"document_2191","motif_190","0.014","0.305","504.3673","None","None"
"document_3209","motif_148","0.014","0.305","581.2725","None","None"
"document_3306","motif_468","0.015","0.305","588.4572","None","None"
"document_4005","motif_58","0.015","0.305","642.5275","None","None"
"document_428","motif_297","0.015","0.305","383.2206","None","None"
"document_1958","motif_84","0.017","0.305","489.4007","None","None"
"document_5454","motif_393","0.017","0.305","916.6776","None","None"
"document_502","motif_458","0.024","0.305","392.3124","None","None"
"document_1464","motif_332","0.025","0.305","462.3774","None","None"
"document_3379","motif_458","0.025","0.305","595.3227","None","None"
"document_3295","motif_308","0.027","0.305","588.2780","None","None"
"document_2206","motif_345","0.029","0.305","504.4374","None","None"
"document_3653","motif_157","0.030","0.305","615.4958","None","None"
"document_435","motif_365","0.032","0.305","383.3293","None","None"
"document_4976","motif_345","0.032","0.305","758.6338","None","None"
"document_2040","motif_468","0.037","0.305","494.4178","None","None"
"document_1810","motif_435","0.038","0.305","481.2578","None","None"
"document_3575","motif_345","0.046","0.305","609.4871","None","None"
"document_3771","motif_170","0.053","0.305","625.3003","None","None"
"document_1871","motif_157","0.056","0.305","484.4131","None","None"
"document_1911","motif_477","0.063","0.305","486.4869","None","None"
"document_3336","motif_82","0.068","0.305","591.4721","None","None"
"document_1616","motif_93","0.078","0.305","472.3769","None","None"
"document_429","motif_393","0.079","0.305","383.2564","None","None"
"document_78","motif_345","0.084","0.305","303.2325","None","None"
"document_1302","motif_13","0.096","0.305","455.3502","None","None"
"document_583","motif_61","0.097","0.305","401.3403","None","None"
"document_71","motif_256","0.126","0.305","301.2154","None","None"
"document_5004","motif_444","0.128","0.305","764.5572","None","None"
"document_3013","motif_96","0.130","0.305","564.3910","None","None"
"document_4185","motif_393","0.166","0.305","656.5067","None","None"
"document_579","motif_136","0.212","0.305","401.3037","None","None"
"document_5497","motif_106","0.235","0.305","934.7825","None","None"
"document_1133","motif_393","0.306","0.305","442.3754","None","None"
"document_857","motif_259","0.314","0.305","423.3974","None","None"
"document_1126","motif_259","0.326","0.305","441.4066","None","None"
"document_5646","motif_393","0.352","0.305","998.7147","None","None"
"document_2794","motif_175","0.387","0.305","548.3916","None","None"
"document_825","motif_456","0.413","0.305","422.2153","None","None"
"document_4920","motif_376","0.508","0.305","748.3330","None","None"
"document_5103","motif_444","0.530","0.305","788.5621","None","None"
"document_749","motif_361","0.550","0.305","415.2107","None","None"
"document_1700","motif_82","0.638","0.305","475.3743","None","None"
"document_515","motif_402","0.958","0.305","395.3649","None","None"
"document_1600","motif_82","0.010","0.306","471.3792","None","None"
"document_4006","motif_136","0.010","0.306","642.5289","None","None"
"document_977","motif_234","0.011","0.306","431.3515","None","None"
"document_716","motif_19","0.012","0.306","412.4133","None","None"
"document_1715","motif_305","0.013","0.306","476.3769","None","None"
"document_2677","motif_136","0.013","0.306","538.4072","None","None"
"document_3176","motif_224","0.013","0.306","578.4576","None","None"
"document_3897","motif_190","0.013","0.306","635.3899","None","None"
"document_3209","motif_458","0.014","0.306","581.2725","None","None"
"document_4854","motif_305","0.014","0.306","734.5337","None","None"
"document_2444","motif_178","0.017","0.306","521.4031","None","None"
"document_1446","motif_36","0.019","0.306","460.4138","None","None"
"document_5581","motif_243","0.020","0.306","968.7381","None","None"
"document_2826","motif_345","0.022","0.306","550.4084","None","None"
"document_3854","motif_408","0.022","0.306","632.3065","None","None"
"document_1035","motif_342","0.025","0.306","437.3403","None","None"
"document_1868","motif_190","0.025","0.306","484.4117","None","None"
"document_2370","motif_91","0.025","0.306","517.3987","None","None"
"document_900","motif_20","0.026","0.306","426.3725","None","None"
"document_994","motif_331","0.027","0.306","433.2201","None","None"
"document_1113","motif_369","0.030","0.306","441.3717","None","None"
"document_4047","motif_408","0.031","0.306","645.3054","None","None"
"document_2561","motif_364","0.032","0.306","531.2888","None","None"
"document_349","motif_157","0.033","0.306","372.2368","None","None"
"document_4497","motif_23","0.038","0.306","684.5341","None","None"
"document_4537","motif_393","0.039","0.306","688.5321","None","None"
"document_3878","motif_192","0.042","0.306","634.3196","None","None"
"document_4624","motif_157","0.046","0.306","699.5307","None","None"
"document_2149","motif_236","0.052","0.306","502.3080","None","None"
"document_2835","motif_62","0.063","0.306","551.2999","None","None"
"document_4423","motif_25","0.065","0.306","677.3015","None","None"
"document_1546","motif_393","0.080","0.306","468.3954","None","None"
"document_4188","motif_459","0.100","0.306","656.5407","None","None"
"document_699","motif_468","0.123","0.306","411.3609","None","None"
"document_1513","motif_461","0.137","0.306","465.2630","None","None"
"document_4139","motif_111","0.204","0.306","653.3288","None","None"
"document_4991","motif_444","0.263","0.306","762.5470","None","None"
"document_5105","motif_444","0.274","0.306","788.5627","None","None"
"document_2917","motif_352","0.293","0.306","557.2726","None","None"
"document_4992","motif_444","0.304","0.306","762.5471","None","None"
"document_798","motif_468","0.403","0.306","418.3666","None","None"
"document_4254","motif_352","0.513","0.306","662.3324","None","None"
"document_2485","motif_393","0.515","0.306","524.3928","None","None"
"document_543","motif_402","0.599","0.306","397.3468","None","None"
"document_5608","motif_272","0.661","0.306","982.7466","None","None"
"document_1640","motif_136","0.010","0.307","473.3296","None","None"
"document_2437","motif_125","0.011","0.307","521.2520","None","None"
"document_3243","motif_256","0.011","0.307","583.4131","None","None"
"document_452","motif_13","0.011","0.307","384.3827","None","None"
"document_2448","motif_285","0.012","0.307","522.2679","None","None"
"document_3237","motif_93","0.012","0.307","583.2868","None","None"
"document_3580","motif_321","0.013","0.307","610.2843","None","None"
"document_5201","motif_370","0.013","0.307","808.5563","None","None"
"document_1936","motif_463","0.014","0.307","488.3702","None","None"
"document_3335","motif_282","0.015","0.307","591.4346","None","None"
"document_4783","motif_19","0.015","0.307","722.5174","None","None"
"document_3607","motif_383","0.017","0.307","612.4619","None","None"
"document_935","motif_99","0.017","0.307","428.3624","None","None"
"document_4033","motif_125","0.018","0.307","644.4765","None","None"
"document_4172","motif_121","0.020","0.307","656.3402","None","None"
"document_4180","motif_393","0.020","0.307","656.4897","None","None"
"document_4911","motif_82","0.020","0.307","746.6264","None","None"
"document_2721","motif_342","0.022","0.307","542.4378","None","None"
"document_5078","motif_20","0.024","0.307","780.5594","None","None"
"document_1928","motif_169","0.026","0.307","487.3783","None","None"
"document_4867","motif_116","0.027","0.307","738.5045","None","None"
"document_1912","motif_175","0.029","0.307","487.2680","None","None"
"document_956","motif_104","0.030","0.307","429.3714","None","None"
"document_986","motif_345","0.031","0.307","432.3470","None","None"
"document_4189","motif_169","0.032","0.307","656.5590","None","None"
"document_5265","motif_393","0.033","0.307","826.5970","None","None"
"document_4076","motif_345","0.035","0.307","648.5160","None","None"
"document_3906","motif_408","0.041","0.307","636.3519","None","None"
"document_562","motif_480","0.041","0.307","399.3240","None","None"
"document_5090","motif_178","0.044","0.307","784.6035","None","None"
"document_5369","motif_491","0.053","0.307","868.6276","None","None"
"document_3090","motif_345","0.057","0.307","570.4536","None","None"
"document_3293","motif_345","0.057","0.307","587.4387","None","None"
"document_3121","motif_345","0.066","0.307","573.4642","None","None"
"document_1013","motif_263","0.075","0.307","434.3606","None","None"
