CLUSTERID1	interact	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	shmotifs	topX	topXinNode
1	cosine	1	0	1	1	1	-1	motif_415	0	0
10	cosine	10	0	1	1	1	-1		0	0
100	cosine	100	0	1	1	1	-1	motif_413	0	0
1000	cosine	1000	0	1	1	1	-1	motif_206,motif_90	0	0
1001	cosine	1001	0	1	1	1	-1	motif_245	0	0
1002	cosine	1002	0	1	1	1	-1	motif_13,motif_206,motif_264,motif_306	0	0
1003	cosine	1003	0	1	1	1	-1	motif_288,motif_310,motif_344,motif_374,motif_480	0	0
1004	cosine	3246	-150.106	0	0.658913	0.43349	45	motif_218	motif_190,motif_218,motif_280,motif_19,motif_342	motif_218
1005	cosine	1205	-12.0352	0	0.676095	0.550991	45	motif_18,motif_190,motif_248,motif_417	motif_190,motif_218,motif_280,motif_19,motif_342	motif_190
1005	cosine	1462	-28.0318	0	0.821358	0.59347	45	motif_190,motif_248,motif_281,motif_369,motif_417	motif_190,motif_218,motif_280,motif_19,motif_342	motif_190
1006	cosine	1006	0	1	1	1	-1	motif_264	0	0
1007	cosine	1007	0	1	1	1	-1	motif_344,motif_415	0	0
1008	cosine	1236	-14.0165	0	0.894178	0.531197	444		motif_209,motif_300,motif_93,motif_135,motif_298	
1008	cosine	1493	-30.0101	0	0.809007	0.583678	444		motif_209,motif_300,motif_93,motif_135,motif_298	
1009	cosine	1009	0	1	1	1	-1	motif_152,motif_310,motif_374,motif_415,motif_425,motif_480	0	0
101	cosine	118	-0.000610352	0	0.671831	0.45395	70	motif_343	motif_415,motif_170,motif_343,motif_400,motif_413	motif_343
1010	cosine	2004	-58.0067	0	0.636181	0.411198	84	motif_167,motif_249	motif_400,motif_132,motif_148,motif_167,motif_249	motif_167,motif_249
1012	cosine	1024	-0.982788	0	0.671934	0.432838	34		motif_187,motif_360,motif_444,motif_129,motif_230	
1013	cosine	1240	-14.0155	0	0.835089	0.49376	340	motif_158,motif_360	motif_73,motif_483,motif_191,motif_455,motif_157	
1014	cosine	1014	0	1	1	1	-1	motif_281,motif_374	0	0
1015	cosine	1015	0	1	1	1	-1	motif_135,motif_158,motif_263,motif_269,motif_342,motif_360,motif_414	0	0
1016	cosine	1016	0	1	1	1	-1	motif_135,motif_158,motif_350,motif_360,motif_374	0	0
1017	cosine	1018	-0.00134277	0	0.78818	0.436104	782	motif_158	motif_158,NA,NA,NA,NA	motif_158
1019	cosine	1019	0	1	1	1	-1	motif_135,motif_157,motif_158,motif_345,motif_360	0	0
102	cosine	102	0	1	1	1	-1	motif_281,motif_341	0	0
1020	cosine	1877	-50.1091	0	0.851583	0.492683	264	motif_316,motif_413,motif_415	motif_458,motif_316,motif_415,motif_413,motif_119	motif_316,motif_413,motif_415
1020	cosine	2306	-78.1415	0	0.834902	0.576195	264	motif_458	motif_458,motif_316,motif_415,motif_413,motif_119	motif_458
1020	cosine	2308	-78.1419	0	0.858745	0.491037	264	motif_316,motif_413,motif_415,motif_458,motif_491	motif_458,motif_316,motif_415,motif_413,motif_119	motif_316,motif_413,motif_415,motif_458
1021	cosine	1021	0	1	1	1	-1	motif_157,motif_201,motif_221,motif_316,motif_431,motif_465,motif_74,motif_90	0	0
1022	cosine	1022	0	1	1	1	-1	motif_162,motif_201,motif_90	0	0
1023	cosine	1023	0	1	1	1	-1	motif_157,motif_176,motif_192,motif_221,motif_254,motif_294,motif_447,motif_458,motif_66	0	0
1024	cosine	1265	-17.0278	0	0.692696	0.452269	34		motif_187,motif_360,motif_444,motif_129,motif_230	
1025	cosine	1025	0	1	1	1	-1		0	0
1026	cosine	1026	0	1	1	1	-1	motif_105,motif_458	0	0
1027	cosine	1027	0	1	1	1	-1	motif_105,motif_316,motif_458,motif_465	0	0
1028	cosine	1028	0	1	1	1	-1	motif_415	0	0
1029	cosine	1029	0	1	1	1	-1	motif_316,motif_467	0	0
103	cosine	169	-18.0106	0	0.602364	0.419958	90		motif_413,NA,NA,NA,NA	
103	cosine	228	-35.0371	0	0.622698	0.467241	90	motif_413	motif_413,NA,NA,NA,NA	motif_413
1031	cosine	1287	-17.027	0	0.843492	0.571618	186	motif_132,motif_149,motif_176,motif_458,motif_491	motif_176,motif_458,motif_149,motif_491,motif_132	motif_132,motif_149,motif_176,motif_458,motif_491
1031	cosine	1814	-44.0641	0	0.836963	0.598175	186	motif_149,motif_176,motif_458	motif_176,motif_458,motif_149,motif_491,motif_132	motif_149,motif_176,motif_458
1031	cosine	1835	-46.0793	0	0.857119	0.562756	186	motif_149,motif_176,motif_458	motif_176,motif_458,motif_149,motif_491,motif_132	motif_149,motif_176,motif_458
1031	cosine	1836	-46.08	0	0.829669	0.512125	186	motif_149,motif_176,motif_221,motif_458,motif_465,motif_491	motif_176,motif_458,motif_149,motif_491,motif_132	motif_149,motif_176,motif_458,motif_491
1032	cosine	1032	0	1	1	1	-1	motif_176,motif_201,motif_408,motif_465,motif_492,motif_90	0	0
1033	cosine	1270	-15.9931	0	0.621103	0.557326	950	motif_201	motif_201,NA,NA,NA,NA	motif_201
1034	cosine	1034	0	1	1	1	-1	motif_207,motif_350,motif_5	0	0
1035	cosine	1035	0	1	1	1	-1	motif_217,motif_342,motif_345,motif_415,motif_42	0	0
1037	cosine	1037	0	1	1	1	-1	motif_160,motif_194,motif_248,motif_415	0	0
1038	cosine	1038	0	1	1	1	-1	motif_281,motif_483	0	0
1039	cosine	1040	-0.0289001	0	0.996132	0.994837	1299	motif_350,motif_47	motif_47,motif_350,NA,NA,NA	motif_350,motif_47
1039	cosine	1042	-0.030365	0	0.702154	0.554283	1299	motif_350,motif_47	motif_47,motif_350,NA,NA,NA	motif_350,motif_47
1039	cosine	1044	-0.0311279	0	0.714711	0.520402	1299	motif_47	motif_47,motif_350,NA,NA,NA	motif_47
104	cosine	104	0	1	1	1	-1		0	0
1041	cosine	1041	0	1	1	1	-1	motif_169,motif_18,motif_194,motif_217,motif_292,motif_305,motif_350,motif_415,motif_47	0	0
1043	cosine	1043	0	1	1	1	-1	motif_131,motif_157,motif_169,motif_216,motif_224,motif_47	0	0
1045	cosine	1045	0	1	1	1	-1	motif_157,motif_224,motif_264,motif_305,motif_350,motif_47	0	0
1046	cosine	1046	0	1	1	1	-1	motif_157,motif_248,motif_305,motif_350,motif_5	0	0
1048	cosine	1048	0	1	1	1	-1	motif_158,motif_445,motif_447	0	0
1049	cosine	1049	0	1	1	1	-1	motif_288	0	0
105	cosine	105	0	1	1	1	-1	motif_17,motif_281,motif_341,motif_413	0	0
1050	cosine	1050	0	1	1	1	-1	motif_114,motif_190,motif_194,motif_342,motif_425	0	0
1051	cosine	1051	0	1	1	1	-1	motif_114,motif_158,motif_250,motif_350,motif_39,motif_431,motif_461,motif_483	0	0
1052	cosine	1526	-28.0325	0	0.697885	0.406713	857		motif_157,motif_342,NA,NA,NA	
1053	cosine	1053	0	1	1	1	-1	motif_194	0	0
1054	cosine	1054	0	1	1	1	-1	motif_157,motif_191,motif_364,motif_390,motif_458,motif_483,motif_87,motif_93	0	0
1055	cosine	1055	0	1	1	1	-1	motif_191,motif_248,motif_342,motif_350,motif_84	0	0
1057	cosine	1057	0	1	1	1	-1	motif_104,motif_157,motif_245,motif_264,motif_84,motif_93	0	0
1058	cosine	1058	0	1	1	1	-1	motif_157,motif_169,motif_191,motif_194,motif_292,motif_350,motif_365	0	0
1059	cosine	1059	0	1	1	1	-1	motif_191,motif_194,motif_264,motif_365,motif_81	0	0
106	cosine	106	0	1	1	1	-1	motif_413	0	0
1060	cosine	1060	0	1	1	1	-1	motif_191,motif_194,motif_248,motif_275,motif_305,motif_365,motif_70	0	0
1061	cosine	1303	-15.9946	0	0.72435	0.57818	1065	motif_191,motif_264	motif_191,motif_264,NA,NA,NA	motif_191,motif_264
1062	cosine	1062	0	1	1	1	-1	motif_18,motif_191,motif_194,motif_415	0	0
1063	cosine	1065	-3.05176e-05	0	0.813642	0.547694	1561	motif_191	motif_191,NA,NA,NA,NA	motif_191
1064	cosine	1070	-0.000488281	0	0.809681	0.456741	550	motif_483	motif_195,motif_248,motif_281,motif_483,NA	motif_483
1064	cosine	1819	-42.0091	0	0.82666	0.586479	550	motif_248,motif_281	motif_195,motif_248,motif_281,motif_483,NA	motif_248,motif_281
