CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
1718	1988	-14.0159	0	0.66633	0.471603	1
3832	4026	-14.0176	0	0.850152	0.640792	2
4277	4515	-21.9847	0	0.867064	0.446215	2
4277	4513	-21.9834	0	0.831238	0.54462	2
4089	4277	-14.0159	0	0.807024	0.527919	2
4026	4027	-0.000549316	0	0.817243	0.545478	2
3731	4026	-21.9886	0	0.823995	0.579166	2
3806	3832	-2.01373	0	0.806754	0.533378	2
3734	4027	-21.9848	0	0.822614	0.613294	2
3734	4026	-21.9843	0	0.877266	0.58933	2
3832	4027	-14.0181	0	0.830774	0.591397	2
3731	4027	-21.9891	0	0.890757	0.649024	2
3731	3734	-0.0043335	0	0.818891	0.602515	2
3731	4277	-42.0142	0	0.805703	0.551191	2
3734	4277	-42.0098	0	0.80146	0.559894	2
4024	4209	-14.0162	0	0.857202	0.497976	3
4028	4206	-14.0105	0	0.784902	0.485635	3
3831	3833	-0.0285034	0	1.0	1.0	3
3831	4209	-28.0605	0	0.789962	0.431071	3
3732	4239	-37.9816	0	0.813667	0.404253	3
3833	4209	-28.032	0	0.805835	0.454839	3
4028	4209	-14.0133	0	0.822065	0.462715	3
4024	4206	-14.0134	0	0.787594	0.416064	3
3732	4028	-21.987	0	0.793974	0.474507	3
3833	4024	-14.0158	0	0.818768	0.41029	3
4028	4239	-15.9946	0	0.818436	0.442594	3
4024	4239	-15.9975	0	0.865558	0.501384	3
3831	4024	-14.0443	0	0.813798	0.407692	3
4024	5300	-196.219	0	0.848058	0.508058	3
4206	4209	-0.00280762	0	0.789777	0.467236	3
4209	5300	-182.203	0	0.829763	0.473626	3
3833	4028	-14.0187	0	0.785146	0.531603	3
4247	4248	-0.000427246	0	0.842239	0.481041	4
3693	4123	-33.9841	0	0.802881	0.550485	4
3905	4247	-24.9822	0	0.799137	0.499133	4
3905	4248	-24.9826	0	0.819007	0.560703	4
3794	4248	-33.9851	0	0.80911	0.43613	4
4025	4207	-14.0142	0	0.807838	0.535488	4
3946	4248	-21.9855	0	0.797768	0.45655	4
3433	3649	-15.9943	0	0.799517	0.519083	4
3659	4433	-62.019	0	0.816749	0.553449	4
3659	3852	-15.9959	0	0.799839	0.499518	4
3433	3981	-42.0458	0	0.785677	0.55442	4
4431	4433	-0.00311279	0	0.842974	0.578338	4
3905	4123	-15.9938	0	0.798111	0.445942	4
3794	3981	-14.0153	0	0.783626	0.539345	4
4174	4207	-2.01367	0	0.808183	0.554998	4
3981	4247	-19.9694	0	0.800413	0.574772	4
3659	4431	-62.0159	0	0.802568	0.565962	4
3433	4247	-62.0152	0	0.813839	0.576303	4
3433	4248	-62.0156	0	0.850729	0.516184	4
4248	4433	-17.0284	0	0.785373	0.542827	4
3981	4248	-19.9698	0	0.851254	0.493619	4
4207	4433	-19.9712	0	0.80393	0.52859	4
4174	4433	-21.9849	0	0.78964	0.486144	4
4207	4431	-19.9681	0	0.788576	0.537007	4
3907	4022	-7.96686	0	0.892611	0.582829	5
2901	4022	-88.0294	0	0.810061	0.432767	5
4022	4278	-20.0638	0	0.833597	0.503257	5
2901	3907	-80.0626	0	0.801524	0.452096	5
3907	3908	-0.000793457	0	0.86199	0.5727	5
2901	3908	-80.0634	0	0.80142	0.457298	5
3685	4022	-26.0168	0	0.899107	0.595102	5
3684	4278	-46.0816	0	0.836255	0.483689	5
3684	4022	-26.0178	0	0.899125	0.595055	5
3685	3907	-18.0499	0	0.891432	0.568521	5
3684	3907	-18.051	0	0.891568	0.569039	5
3908	4022	-7.96606	0	0.879359	0.57239	5
3685	3908	-18.0507	0	0.884119	0.555527	5
3685	4278	-46.0806	0	0.83567	0.482818	5
2901	3685	-62.0126	0	0.803599	0.411938	5
2901	3684	-62.0116	0	0.802275	0.410924	5
3908	4278	-28.0298	0	0.828395	0.533458	5
3684	3908	-18.0518	0	0.883753	0.554561	5
3907	4278	-28.0306	0	0.820423	0.519568	5
