Species,Bioactive1,Benzoicacidsandderivatives,Cholestanesteroids,Diterpenoids,Ergostanesteroids,Fattyalcohols,Glycosphingolipids,Glycosylglycerols,Steroidlactones,Stigmastanesandderivatives,"Terpenoids(di-,ortriterpenoids)",Tricarboxylicacidsandderivatives,Triterpenoids,Euphorbiaditerpenoids,Regularditerpenoids,Non-phorboids,Phorboids
alluaudii,2,2,3,24,1,0,1,3,0,0,0,0,84,21,3,6,15
neriifolia,2,1,3,42,0,1,1,3,0,0,0,0,82,40,2,31,9
jansenvillensis,2,1,2,4,0,0,1,3,0,1,0,0,71,3,1,0,3
bubalina,21,1,1,6,0,0,1,3,0,0,0,0,55,4,2,0,4
thymifolia,4,1,1,7,0,0,0,16,0,0,0,0,19,2,5,0,2
cyparissias,23,1,1,116,0,0,2,29,0,1,3,0,47,108,8,53,55
segetalis,6,1,1,79,0,0,1,20,0,1,1,3,27,70,9,36,34
characias.wulfenii,10,1,1,86,0,0,1,10,0,1,1,0,42,79,7,62,17
milii,9,2,1,17,0,3,0,0,0,1,0,0,53,15,2,0,15
horrida,9,1,1,7,0,0,1,2,0,0,0,0,41,3,4,1,2
globosa,0,1,2,4,0,0,1,3,0,0,0,0,54,2,2,0,2
graminea,0,1,1,5,0,0,0,28,0,1,0,1,17,0,5,0,0
sarcoceras,0,1,1,4,0,0,0,23,0,1,2,0,20,0,4,0,0
dentata,0,1,1,4,0,0,0,11,0,0,0,0,5,1,3,0,1
myrsinites,0,1,0,49,0,0,1,1,0,0,0,0,28,45,4,34,11
lathyris,28,1,1,59,0,0,0,30,1,1,2,1,34,45,14,14,31
nicaeensis,2,1,1,13,0,0,1,11,0,0,0,0,22,12,1,5,7
fiherenensis,1,1,2,1,0,0,1,1,0,0,0,0,51,1,0,0,1
ammak,2,1,0,32,0,1,1,2,0,0,0,0,32,30,2,21,9
stenoclada,0,1,2,1,0,0,0,1,0,0,0,0,31,1,0,0,1
ingens,0,1,1,52,0,0,0,0,0,0,0,0,21,48,4,29,19
prostrata,0,1,1,6,0,0,0,17,0,2,0,0,13,1,5,0,1
hirta,0,1,1,6,0,0,0,16,0,1,0,0,18,1,5,0,1
cotinifolia,0,1,2,4,0,0,0,3,0,1,1,0,32,4,0,0,4
amygdaloides,2,1,1,22,0,0,0,5,0,1,0,0,28,15,7,1,14
abdelkuri,2,1,3,114,0,2,1,3,0,1,1,0,75,92,22,32,60
weberbaueri,0,1,2,18,0,0,0,1,0,0,0,0,31,17,1,15,2
grandicornis,6,1,1,10,1,0,1,2,0,0,0,0,52,9,1,3,6
obesa,15,2,3,27,0,4,1,9,0,1,2,0,97,12,15,1,11
mammillaris,4,1,1,17,0,1,1,4,0,1,0,0,62,9,8,1,8
ophthalmica,0,2,1,5,0,0,2,25,0,2,1,0,15,0,5,0,0
hyssopifolia,0,1,1,17,0,0,0,12,0,1,1,0,18,2,15,1,1
platyclada,0,1,0,8,0,0,1,2,0,0,0,0,73,3,5,2,1
peplus,22,1,1,131,0,0,4,38,0,1,2,2,22,115,16,87,28
sipolisii,0,1,2,4,0,0,1,2,0,0,0,0,61,2,2,0,2
cylindrifolia,7,2,2,41,0,0,1,5,0,0,0,0,45,28,13,5,23
lactea,3,1,4,13,0,1,1,5,0,0,0,0,45,12,1,8,4
balsamifera,0,2,7,35,3,3,5,14,0,4,5,0,169,22,13,1,21
ornithopus,0,2,11,29,1,3,11,19,0,1,11,1,151,19,10,0,19
lagascae,24,1,8,125,0,4,15,128,1,2,43,14,135,88,37,44,44
helioscopia,35,1,5,240,1,2,14,119,4,1,100,15,123,203,37,106,97
aeruginosa,0,3,13,81,3,3,8,52,0,2,4,3,145,68,13,23,45
acanthothamnos,0,1,4,106,1,2,10,53,0,1,8,4,109,98,8,60,38
