SampleNames;Species;Bioactive1;Bioactive_binary1;Bioactive2;Bioactive_binary2;Bioactive3;Bioactive_binary3
GG8P7_48alluaudii-MS1_GG8_01_28851.mzXML;alluaudii;2;1;2;1;0;0
GG7P7_47neriifolia-MS1_GG7_01_28846.mzXML;neriifolia;2;1;2;1;0;0
GG6P7_46jansenvillensis-MS1_GG6_01_28841.mzXML;jansenvillensis;2;1;2;1;0;0
GG5P7_45bubalina-MS1_GG5_01_28836.mzXML;bubalina;21;1;22;1;0;0
GG4P7_44thymifolia-MS1_GG4_01_28831.mzXML;thymifolia;4;1;5;1;1;1
GG3P7_43cyparissias-MS1_GG3_01_28826.mzXML;cyparissias;23;1;23;1;0;0
GG2P7_42segetalis-MS1_GG2_01_28821.mzXML;segetalis;6;1;6;1;0;0
GG1P7_41characias-MS1_GG1_01_28816.mzXML;characias;10;1;16;1;4;1
GE9P7_39milii-MS1_GE9_01_28784.mzXML;milii;9;1;50;1;39;1
GE8P7_38horrida-MS1_GE8_01_28779.mzXML;horrida;9;1;10;1;0;0
GE7P7_37globosa-MS1_GE7_01_28774.mzXML;globosa;0;0;0;0;0;0
GE6P7_36graminea-MS1_GE6_01_28769.mzXML;graminea;0;0;0;0;0;0
GE5P7_35sarcoceras-MS1_GE5_01_28764.mzXML;sarcoceras;0;0;0;0;0;0
GE4P7_34dentata-MS1_GE4_01_28759.mzXML;dentata;0;0;0;0;0;0
GE3P7_33myrsinites-MS1_GE3_01_28754.mzXML;myrsinites;0;0;74;1;74;1
GE2P7_32lathyris-MS1_GE2_01_28749.mzXML;lathyris;28;1;29;1;0;0
GE1P7_31nicaeensis-MS1_GE1_01_28744.mzXML;nicaeensis;2;1;3;1;0;0
GE12P7_312fiherenensis-MS1_GE12_01_28811.mzXML;fiherenensis;1;1;8;1;5;1
GE11P7_311ammak-MS1-RERUN_GE11_01_28883.mzXML;ammak;2;1;2;1;0;0
GE10P7_31stenoclada-MS1_GE10_01_28789.mzXML;stenoclada;0;0;0;0;0;0
GC9P7_29ingens-MS1_GC9_01_28711.mzXML;ingens;0;0;26;1;26;1
GC6P7_26prostrata-MS1_GC6_01_28696.mzXML;prostrata;0;0;0;0;0;0
GC5P7_25hirta-MS1_GC5_01_28691.mzXML;hirta;0;0;0;0;0;0
GC4P7_24cotinifolia-MS1_GC4_01_28686.mzXML;cotinifolia;0;0;0;0;0;0
GC3P7_23amygdaloides-MS1_GC3_01_28681.mzXML;amygdaloides;2;1;2;1;0;0
GC12P7_212abdelkuri-MS1-RERUN_GC12_01_28881.mzXML;abdelkuri;2;1;47;1;45;1
GC10P7_21weberbaueri-MS1_GC10_01_28716.mzXML;weberbaueri;0;0;26;1;26;1
GA9P7_19grandicornis-MS1_GA9_01_28642.mzXML;grandicornis;6;1;7;1;0;0
GA8P7_18obesa-MS1_GA8_01_28637.mzXML;obesa;15;1;18;1;2;1
GA7P7_17mammillaris-MS1_GA7_01_28632.mzXML;mammillaris;4;1;4;1;0;0
GA6P7_16ophthalmica-MS1_GA6_01_28627.mzXML;ophthalmica;0;0;0;0;0;0
GA5P7_15hyssopifolia-MS1_GA5_01_28622.mzXML;hyssopifolia;0;0;0;0;0;0
GA4P7_14platyclada-MS1_GA4_01_28617.mzXML;platyclada;0;0;0;0;0;0
GA3P7_13cyparissias-MS1_GA3_01_28612.mzXML;cyparissias;19;1;29;1;6;1
GA1P7_11peplus-MS1_GA1_01_28602.mzXML;peplus;22;1;22;1;0;0
GA12P7_112sipolisii-MS1_GA12_01_28657.mzXML;sipolisii;0;0;12;1;12;1
GA11P7_111cylindrifolia-MS1_GA11_01_28652.mzXML;cylindrifolia;7;1;15;1;2;1
GA10P7_110lactea-MS1_GA10_01_28647.mzXML;lactea;3;1;14;1;10;1
BC8P7_28balsamifera_BC8_01_28704.mzXML;balsamifera;0;0;0;0;0;0
BC7P7_27ornithopus_BC7_01_28699.mzXML;ornithopus;0;0;0;0;0;0
BC2P7_22lagascae_BC2_01_28674.mzXML;lagascae;24;1;28;1;4;1
BC1P7_21helioscopia_BC1_01_28669.mzXML;helioscopia;35;1;35;1;0;0
BC11P7_211aeruginosa_BC11_01_28719.mzXML;aeruginosa;0;0;8;1;7;1
BA2P7_12acanthot_BA2_01_28605.mzXML;acanthothamnos;0;0;0;0;0;0
RA3_Blank-for-MS1_RA3_01_28596.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28663.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28667.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28729.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28807.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28857.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
RA3_Blank-for-MS1_RA3_01_28879.mzXML;NA;Bio_NA;Bio_b_NA;Bio_NA_2;Bio_b_NA_2;Bio_NA_3;Bio_b_NA_3
